32176306;32176305;1;;1;;;1;5027;52,3;52,3;;;;1714;;;
32182352;32182351;1;;1;;19134466;1;5000;49,6;49,6;;;;1714;;;1623
31973360;31973359;1;;1;;19130681;1;5000;101,0;280,4;;;;1714;;;1623
35145756;35145755;1;;1;;19139565;1;5000;167,2;182,2;;;;1714;2,6;;
31730020;31730019;1;;3;;19130541;1;5000;116,2;210,5;;;;1714;;;1623
30196090;20742796;4;4;2;2;11592732;1;5001;66,4;90,8;;2005;1228226;1714;;;1623
30196092;20742796;6;6;3;1;11592732;1;5001;48,5;74,0;;;1228226;1715;;;1623
30196094;20742796;8;8;3;1;11592732;1;5001;66,6;89,4;;2004;1228226;1715;;;1623
30196095;20742796;9;9;3;1;11592732;1;5001;30,6;38,6;;2004;1228226;1715;;;1623
30196096;20742796;10;10;4;2;11592732;1;5001;48,1;81,4;2007;2006;1228226;1715;;;1623
30196099;20742796;13;13;4;2;11592732;1;5001;66,4;82,0;;;1228226;1715;;;1623
30196100;20742796;14;14;4;2;11592732;1;5001;30,6;39,0;2004;2005;1228226;1715;;;1623
30196102;20742796;16;16;5;3;11592732;1;5001;48,5;61,7;;;1228226;1715;;;1623
30196103;20742796;17;17;5;3;11592732;1;5001;25,4;29,0;;;1228226;1715;;;1623
30196108;20742796;22;22;6;4;11592732;1;5001;34,8;38,4;;1998;1228226;1715;;;1623
30196109;20742796;23;23;1;2;11592732;1;5014;16,3;16,3;;;1228226;1713;;;1623
30184045;20742798;2;2;2;2;11592716;1;5001;24,6;39,2;;;1228226;1714;;;1623
30184046;20742798;3;3;2;2;11592716;1;5001;66,0;90,2;;2000;1228226;1714;;;1623
30184047;20742798;4;4;3;1;11592716;1;5001;76,8;89,2;;2004;1228226;1715;;;1623
30184050;20742798;7;7;3;1;11592716;1;5001;30,6;38,0;;;1228226;1715;;;1623
30183946;20742794;1;101;2;2;11592708;1;5001;65,5;86,5;;;1228226;1714;;;1623
30183947;20742794;2;102;2;2;11592708;1;5001;21,1;31,9;;;1228226;1714;;;1623
30183949;20742794;4;104;2;2;11592708;1;5001;52,5;59,5;2006;;1228226;1714;;;1623
30183950;20742794;5;105;3;1;11592708;1;5001;66,0;90,1;2003;2000;1228226;1715;;;1623
30183953;20742794;8;108;3;1;11592708;1;5001;51,7;59,5;;2000;1228226;1715;;;1623
30183954;20742794;9;109;3;1;11592708;1;5001;31,3;38,9;;;1228226;1715;;;1623
30183955;20742794;10;110;4;2;11592708;1;5001;65,5;81,1;;;1228226;1715;;;1623
30183956;20742794;11;111;4;2;11592708;1;5001;25,3;28,9;;;1228226;1715;;;1623
30183961;20742794;16;116;5;3;11592708;1;5001;24,3;28,9;2007;;1228226;1715;;;1623
30183964;20742794;19;119;5;3;11592708;1;5001;35,0;38,8;;;1228226;1715;;;1623
30183965;20742794;20;120;6;4;11592708;1;5001;36,8;40,8;;;1228226;1715;;;1623
30183971;20742794;26;126;2;;11592708;1;5036;0,0;328,7;;;1228226;;;;1623
31558869;20742794;27;27;1;2;11592708;1;5014;16,2;16,2;;;1228226;1715;;;1623
31558871;20742794;29;29;1;2;11592708;1;5014;15,7;15,7;;;1228226;1715;;;1623
30196091;20742796;5;5;3;1;11592732;1;5001;52,5;63,4;2005;2006;1228226;1715;;;1623
30184053;20742798;10;10;4;2;11592716;1;5001;66,6;97,3;;;1228226;1715;;;1623
30184054;20742798;11;11;4;2;11592716;1;5001;34,3;38,3;;;1228226;1715;;;1623
30184055;20742798;12;12;5;3;11592716;1;5001;66,4;80,5;;;1228226;1715;;;1623
30184057;20742798;14;14;5;3;11592716;1;5001;66,2;81,0;;;1228226;1715;;;1623
30184061;20742798;18;18;1;;11592716;1;5032;3,2;3,2;;;1228226;1713;;;1623
30184062;20742798;19;19;1;;11592716;1;5032;7,0;7,0;;;1228226;1713;;;1623
30184064;20742798;21;21;1;;11592716;1;5032;3,5;3,5;;;1228226;1713;;;1623
30184065;20742798;22;22;1;;11592716;1;5032;3,5;3,5;;;1228226;1713;;;1623
30184068;20742798;25;25;1;;11592716;1;5014;15,9;15,9;;;1228226;1713;;;1623
30184070;20742798;27;27;1;;11592716;1;5014;16,3;16,3;;;1228226;1713;;;1623
