131508081;11026826;184;1217/17;1240;170730,37;576298,32;
20935691;11026826;208;114;559;164340,02;570092,62;47
133132380;11026826;188;534/10;2066;168948,64;574492,80;47
133132384;11026826;188;534/12;74;168906,35;574463,06;43
133132378;11026826;188;534/9;20;168964,71;574479,00;
133132376;11026826;188;534/8;1;168976,24;574492,55;
133132382;11026826;188;534/11;471;168885,71;574471,13;46
131609590;11026826;187;81/13;1282;169320,00;576615,80;57
131609578;11026826;187;714/26;260;168754,95;575888,46;56
131609580;11026826;187;714/27;254;168757,66;575872,56;56
131609566;11026826;187;714/24;1946;168817,24;575888,65;56
131609574;11026826;187;718/2;2049;168872,04;575868,54;56
80409216;11026826;196;352/4;2858;166316,45;575740,71;32
80409209;11026826;196;352/2;7104;166389,36;575663,09;46
80409214;11026826;196;352/3;4246;166351,71;575629,54;55
80409206;11026826;196;352/1;7120;166384,63;575585,90;58
80409218;11026826;196;352/5;7445;166300,32;575621,80;33
135059211;11026826;196;234/5;71;167043,17;575499,61;
135059209;11026826;196;234/4;249;167042,18;575474,55;
133922790;11026826;189;536/6;103;171211,88;574614,02;
133922794;11026826;189;704/1;624;171193,43;574586,74;
133922798;11026826;189;704/3;17;171214,67;574609,43;
133922802;11026826;189;704/5;310;171243,71;574634,09;
133922800;11026826;189;704/4;91;171222,76;574615,86;
133922796;11026826;189;704/2;76;171209,60;574604,61;
63176814;11026826;184;1121/4;256;169778,00;576352,10;30
63176810;11026826;184;1123/4;692;169764,81;576372,27;75
63176816;11026826;184;1121/5;39;169762,37;576351,43;83
136181231;11026826;187;534/11;155;168330,15;575921,63;69
136181246;11026826;211;735/3;26;161683,73;576124,09;56
92288849;11026826;195;298/5;1212;166872,41;574070,81;20
92288812;11026826;195;307/4;5640;166891,19;574114,35;64
92288825;11026826;195;188/13;2087;167135,19;574261,11;46
86064423;11026826;184;1027/2;48;170263,91;576286,87;
56316645;11026826;205;389/2;70;165041,03;576079,16;
56316513;11026826;205;634/1;3075;163557,39;575844,42;32
56316603;11026826;205;639/2;37;163457,37;575903,46;48
56316564;11026826;205;632/1;2845;163586,51;575847,73;32
56316515;11026826;205;634/2;50;163533,24;575926,97;48
56316521;11026826;205;638/2;38;163473,52;575910,26;
56316550;11026826;205;635/2;45;163517,19;575923,66;22
56316607;11026826;205;345/4;267;164118,90;576031,45;46
56316609;11026826;205;345/5;41;164080,85;576094,35;
56316576;11026826;205;633/1;2873;163572,61;575845,08;32
56316621;11026826;205;282/2;2;164009,78;576021,38;
56316536;11026826;205;415/4;2812;165064,14;576066,89;59
56316542;11026826;205;332/4;474;164006,31;576044,99;43
56316562;11026826;205;550/6;228;163763,93;575775,52;
56316572;11026826;205;343/2;19;164087,80;576100,97;
56316656;11026826;205;272/2;226;163661,86;575780,32;22
56316660;11026826;205;715/3;11815;164017,45;575954,43;22
56316666;11026826;205;715/6;54;165093,21;576092,11;22
107945813;11026826;188;722/12;286;169503,12;572985,41;
134254983;11026826;194;301/11;1394;165593,67;573191,80;19
74808411;11026826;187;949/7;1673;168089,64;575308,77;22
133818096;11026826;186;485/8;3382;169459,42;577024,98;63
63339917;11026826;188;1073/18;2195;168333,52;573507,26;54
130628509;11026826;210;51/8;6309;163465,02;572918,83;53
130475451;11026826;193;553/2;3139;166538,07;569812,11;47
138701555;11026826;184;547/2;3284;170905,56;575774,63;54
138540641;11026826;193;594/1;47;166674,62;570079,45;52
20858119;11026826;187;818/1;459;168544,86;574693,24;59
20858115;11026826;187;816/1;2471;168570,71;574685,63;69
20857372;11026826;187;683/3;767;168307,76;575605,14;46
20855302;11026826;187;305/11;700;169113,22;576334,21;
20855835;11026826;187;354/5;766;168565,96;576350,89;20
20946349;11026826;211;361/1;546;160960,73;574562,54;58
20946354;11026826;211;362;9455;160939,72;574530,06;56
92055145;11026826;187;931/9;175;169258,00;575718,80;55
130967656;11026826;189;433/1;1410;171082,62;575636,26;38
130967652;11026826;189;431/12;29;171093,88;575730,91;44
130967658;11026826;189;433/2;17;171100,30;575620,32;
20866463;11026826;189;281/4;320;170593,34;575167,09;57
20867292;11026826;189;534/1;1631;171218,91;574651,69;56
20867285;11026826;189;532;4062;171205,98;574658,92;84
20867313;11026826;189;538;1000;171171,68;574563,00;56
20850933;11026826;184;1137/14;678;169619,05;576250,95;
20850155;11026826;184;991;1056;170227,00;576413,37;
20860174;11026826;188;62/4;680;169700,76;575855,82;
20864725;11026826;188;1208/4;267;169399,68;573593,32;
20847305;11026826;184;417;692;171208,35;575600,30;
132692401;11026826;187;1003/6;448;168369,61;576461,85;56
132692403;11026826;187;1003/7;16131;168287,24;576432,50;56
69113815;11026826;206;967/3;399;165859,79;573752,70;53
69113818;11026826;206;967/4;855;165839,15;573762,43;43
69027553;11026826;187;1046/1;1218;168391,38;576685,10;22
69027555;11026826;187;1046/2;4403;168403,07;576710,60;59
51745765;11026826;192;31/5;1076;169164,64;569737,84;43
138540611;11026826;193;531/1;5149;167024,48;569710,13;52
138540639;11026826;193;593/2;62;166682,56;570080,24;52
138540497;11026826;193;1234/13;13;166675,89;570070,85;
138540659;11026826;193;455/6;155;167056,31;569619,94;52
138540469;11026826;193;605/10;110;166726,01;570283,14;52
138540657;11026826;193;455/5;510;167046,37;569633,28;52
138540483;11026826;193;609/2;695;166735,10;570234,19;52
138540511;11026826;193;1234/20;415;166724,01;570129,21;52
