20742794;34228480;347
20742796;34228484;345
20742798;34228482;292
23259282;20875625;154
23259283;20875625;436
23259284;20875625;101
23259415;20873834;140
23259416;20873802;124
23259417;20873812;101
23259418;20873809;132
23259422;20873788;133
23259424;20873784;132
23259425;20873773;17
23259425;20873777;165
23259427;20873755;41
23259428;20873757;106
23259429;20873750;27
23259430;20873733;41
23259431;20873735;129
23259483;20874252;50
23259484;20874258;197
23259485;20874114;122
23259489;132539379;84
23259492;20874601;50
23259493;20874601;89
23259495;20874573;61
23259495;20874575;61
23259497;20874575;31
23259498;20874573;128
23259505;20874601;100
23259509;20874248;22
23259516;20874828;16
23259516;20874830;18
23259517;20874684;29
23259518;20874680;24
23259526;20874108;100
23259527;20874110;93
23259529;20874672;65
23259530;20874672;30
23259533;20874110;170
23259559;20874799;28
23259567;130661430;25
23259568;20874775;64
23259570;20874672;155
23259571;20874638;51
23259572;130661425;115
23259573;20874801;42
23259574;136882392;89
23259575;20874753;71
23259576;20874753;106
23259593;20874801;100
23259594;20874799;85
23259596;130771107;195
23259598;20874680;20
23259599;20874682;129
23259600;20874692;78
23259601;20874692;120
23259621;20882786;212
23259622;20882783;101
23259630;20873860;308
23259631;20873892;217
23259632;134811675;146
23259633;20873895;62
23259634;20873912;184
23259635;20873912;113
23259636;20873912;59
23259637;20873904;95
23259637;20873910;95
23259638;20873935;133
23259640;20873931;108
23259642;131682292;114
23259644;20873971;99
23259739;20874647;348
23259742;136181187;34
23259743;137864356;72
23259744;137864356;92
23259745;137864358;36
23259746;137864358;119
23259747;136181187;31
23259748;132785984;58
23259749;132785984;33
23259750;137864356;55
23259751;137864356;144
23259752;137864356;26
23259753;20874913;48
23259754;20874910;35
23259755;20874921;123
23259756;20874919;69
23259757;20874930;76
23259758;20874930;102
23259759;20874930;28
23259761;20874638;30
23259762;20874638;9
23259762;20874647;9
23259763;20874647;146
23259764;20874950;27
23259765;20874647;110
23259767;20874853;74
23259768;20874853;90
23259769;20874853;108
23259770;20874846;84
23259771;20874844;86
23259772;20869177;97
23259773;20874958;16
23259774;20869177;101
23259775;20874986;86
23259776;20869211;27
23259778;20869211;53
23259779;20875008;62
23259780;20869066;138
23259781;20867917;98
23259782;20867944;291
23259783;20867917;22
23259784;20867911;24
23259786;20868011;241
23259787;20868701;59
23259788;20868701;29
23259789;20868701;69
23259790;20868701;16
23259791;20868677;254
23259792;20868671;177
23259793;20868662;33
23259795;20870143;116
23259796;20870143;147
23259797;20868847;50
23259798;20868840;69
23259799;20868840;30
23259800;20870280;65
23259801;20870274;21
23259802;20868834;354
23259811;20869244;98
23259821;20869103;186
23259824;136181187;72
23259825;136181187;115
23259828;136181187;21
23259839;20869211;105
23259840;20875012;85
23259841;20874946;33
23259842;20869188;188
23259843;20869167;83
23259844;20869167;20
23259845;20869169;70
23259847;20869254;80
23259848;20869248;125
23259849;20869076;70
23259950;62850058;77
23259951;20865898;15
23259952;20865898;100
23259953;20862436;24
23259954;20862436;99
23260010;20868840;47
23260012;20868880;102
23260013;20868869;138
23260014;20868869;183
23260015;20868854;196
23260016;20868854;122
23260017;20868854;86
23260018;20868840;165
23260019;20868858;213
23260020;20868856;45
23260022;20869340;151
23260023;130815211;152
23260024;20868860;30
23260025;20869005;196
23260026;20869007;18
23260027;20868995;37
23260028;20869007;91
23260030;20868995;134
23260031;20868995;72
23260032;20869032;95
23260034;134071061;168
23260035;20869072;87
23260036;134071061;40
23260037;134071067;264
23260037;134071074;32
23260049;20867898;158
23260050;20867898;100
23260051;20867911;106
23260053;20868834;293
23260054;20868832;120
23260055;20868823;127
23260056;20868819;70
23260057;20868819;270
23260058;20868829;137
23260059;20868819;204
23260060;20868812;124
23260061;20868812;110
23260062;20868814;58
23260063;20868814;105
23260064;20868819;262
23260065;20868819;149
23260068;36293797;96
23260069;36293797;249
23260070;36293797;131
