0;1;5737;Učakovci 2019;33056;518317;104;2;0;0;10;114;1;17,8621143;6,38222318;2020-01-01 0:00:00;Črnomelj;0; ; 
1;2;5741;Vinica 2019;35200;520325;503;19;0;0;50;553;1;68,78608436;8,03941677;2020-01-01 0:00:00;Črnomelj;0; ; 
2;3;575;Dragonja spodnji del 2019;35642;395621;237;28;0;0;24;261;1;28;9,32142857;2020-01-01 0:00:00;Piran;0; ; 
3;4;5866;Preloka 2019;36225;527069;81;2;0;0;8;89;1;16;5,5625;2020-01-01 0:00:00;Črnomelj;0; ; 
4;5;20430;Krkavče 2019;36408;398167;96;5;0;0;10;106;1;12;8,83333333;2020-01-01 0:00:00;Koper;0; ; 
5;6;20425;Rakitovec 2019;36614;419895;74;3;2;0;0;76;1;11;6,90909091;2020-01-01 0:00:00;Koper;0; ; 
6;7;597;Sveti Peter 2019;36500;397100;284;20;0;0;28;312;1;33;9,45454545;2020-01-01 0:00:00;Piran;0; ; 
7;8;5631;Vas 2019;36669;490450;113;8;2;0;0;115;1;20,85645489;5,5138805;2020-01-01 0:00:00;Kostel;0; ; 
8;9;30003;Dragonja – Slami 2019;37200;395300;66;27;0;0;7;73;1;4;18,25;2020-01-01 0:00:00;Piran;0; ; 
9;10;20407;Puče spodnja vas 2019;37500;400300;122;5;0;0;12;134;1;10;13,4;2020-01-01 0:00:00;Koper;0; ; 
10;11;30011;Labor 2019;37600;404450;65;5;0;0;7;72;1;7;10,28571429;2020-01-01 0:00:00;Koper;0; ; 
11;12;20409;Movraž 2019;37564;415750;131;4;0;0;13;144;1;14;10,28571429;2020-01-01 0:00:00;Koper;0; ; 
12;13;554;Sečovlje 2019;37850;392800;508;37;80;0;0;588;1;41;14,34146341;2020-01-01 0:00:00;Piran;0; ; 
13;14;603;Nova vas nad Dragonjo 2019;37986;398364;157;19;0;0;16;173;1;14;12,35714286;2020-01-01 0:00:00;Piran;0; ; 
14;15;30006;Puče zgornja vas 2019;38110;400170;51;3;0;0;5;56;1;5;11,2;2020-01-01 0:00:00;Koper;0; ; 
15;16;1264;Sušak 2019;38379;447850;90;2;0;0;9;99;1;7;14,14285714;2020-01-01 0:00:00;Ilirska Bistrica;0; ; 
16;17;20398;Koštabona 2019;38187;401539;226;4;0;0;23;249;1;19;13,10526316;2020-01-01 0:00:00;Koper;0; ; 
