0;85;20469;PREGARA;7;12;20469;PREGARA
1;199;575;DRAGONJA;18;11;575;DRAGONJA
2;51;20453;GRADIN;2;26;20453;GRADIN
3;122;20409;MOVRAŽ;11;11;20409;MOVRAŽ
4;103;597;SV. PETER;8;13;50051;Sv. Peter1
5;98;1264;SUŠAK;6;16;1264;SUŠAK
6;82;20425;RAKITOVEC;6;14;20425;RAKITOVEC
7;139;597;SV. PETER;10;14;597;SV. PETER
8;113;5631;VAS;10;11;5631;VAS
9;85;20430;KRKAVČE;4;21;20430;KRKAVČE
10;60;20419;TREBEŠE;4;15;20419;TREBEŠE
11;12211;538;LUCIJA;301;41;538;LUCIJA
12;67;540;SEČA;7;10;50044;Seča1
13;57;0; ;2;28;50686;Dragonja1
14;220;1174;NOVOKRAČINE;14;16;1174;NOVOKRAČINE
15;72;20035;PODGORJE;7;10;20035;PODGORJE
16;163;20391;BORŠT;13;13;20391;BORŠT
17;50;20406;SP. VAS;4;12;20406;SP. VAS
18;59;20037;ZAZID;4;15;20037;ZAZID
19;50;5591;KUŽELJ;4;12;5591;KUŽELJ
20;57;599;NOVA VAS NAD DRAGONJO;5;11;599;NOVA VAS NAD DRAGONJO
21;539;554;SEČOVLJE;30;18;554;SEČOVLJE
22;109;20407;PUČE;6;18;20407;PUČE
23;157;603;NOVA VAS NAD DRAGONJO;9;17;603;NOVA VAS NAD DRAGONJO
24;206;20398;KOŠTABONA;14;15;20398;KOŠTABONA
25;65;561;PARECAG;5;13;561;PARECAG
26;158;20905;MEDOŠI;12;13;20905;MEDOŠI
27;94;20363;Dol pri Hrastovl;6;16;20363;Dol pri Hrastovl
28;52;0; ;3;17;50687;Puče1
29;649;540;SEČA;48;14;540;SEČA
30;79;540;SEČA;10;8;50045;Seča2
31;542;540;SEČA;42;13;50046;Seča3
32;154;598;PADNA;9;17;598;PADNA
33;311;20902;KORTE;23;14;20902;KORTE
34;215;20902;KORTE;7;31;50685;Korte1
35;308;1265;ZABIČE;20;15;1265;ZABIČE
36;195;1265;ZABIČE;13;15;50070;Zabiče1
37;702;20045;ŠMARJE;43;16;20045;ŠMARJE
38;403;20050;MAREZIGE;30;13;20050;MAREZIGE
39;300;1173;JELŠANE;19;16;1173;JELŠANE
40;171;20368;POMJAN;10;17;20368;POMJAN
41;76;0; ;4;19;50688;POLETIČI
42;131;20365;POPETRE;9;15;20365;POPETRE
43;89;540;SEČA;9;10;50047;Seča4
44;54;20358;GRINTOVEC;4;14;20358;GRINTOVEC
45;167;20039;GRADIŠČE;11;15;20039;GRADIŠČE
46;197;1175;DOLENJE PRI JELŠANAH;11;18;1175;DOLENJE PRI JELŠANAH
47;155;1167;RAČICE;11;14;1167;RAČICE
48;96;1169;VELIKO BRDO;7;14;1169;VELIKO BRDO
49;428;20903;MALIJA;27;16;20903;MALIJA
50;109;20351;LOPAR;7;16;20351;LOPAR
51;133;20048;BABIČI;7;19;20048;BABIČI
52;99;20355;V. ČENTUR;6;16;20355;V. ČENTUR
53;90;5748;STARI TRG OB KOLPI;8;11;5748;STARI TRG OB KOLPI
54;82;540;SEČA;8;10;50048;Seča5
55;70;538;LUCIJA;7;10;50042;Lucija1
56;136;1152;TRPČANE;10;14;1152;TRPČANE
57;53;0; ;3;18;50689;Gregoriči2
58;124;20344;HRASTOVLJE;7;18;20344;HRASTOVLJE
59;66;20333;SRGAŠI;5;13;20333;SRGAŠI
60;88;20907;CETORE;4;22;20907;CETORE
61;207;20341;MANŽAN;7;30;20341;MANŽAN
62;446;20900;ŠARED;29;15;20900;ŠARED
63;184;20046;KRIŽIŠČE;19;10;20046;KRIŽIŠČE
64;117;1181;GORNJI ZEMON;8;15;1181;GORNJI ZEMON
65;1452;20282;BOŠMARIN;100;15;20282;BOŠMARIN
66;77;20050;MAREZIGE;6;13;50639;Marezige1
67;161;5539;SELA;12;13;5539;SELA
68;143;20339;PADERNA;4;36;20339;PADERNA
69;50;20316;KAVALIČI;3;17;20316;KAVALIČI
70;82;20307;MONTINJAN;8;10;20307;MONTINJAN
71;565;1168;PODGRAD;33;17;1168;PODGRAD
72;174;20310;PREGAČANE;16;11;20310;PREGAČANE
73;106;5627;MORAVA;7;15;5627;MORAVA
74;159;5630;ŠTALCERJI;9;18;5630;ŠTALCERJI
75;446;20289;GAŽON;23;19;20289;GAŽON
76;195;20286;BOŠAMARIN;16;12;20286;BOŠAMARIN
77;131;20032;KUBED;8;16;20032;KUBED
78;166;997;OBROV;16;10;997;OBROV
79;73;1172;SABONJE;5;15;1172;SABONJE
80;84;538;LUCIJA;8;10;50043;Lucija2
81;87;0; ;10;9;50690;SVETI ANTON
82;166;20030;GREGORIČI;14;12;50637;Gregoriči1
83;111;20280;SV. UBALD;8;14;20280;SV. UBALD
84;68;1183;PODSTENJE;7;10;1183;PODSTENJE
85;124;1249;KORITNICE;9;14;1249;KORITNICE
86;54;0; ;3;18;50691;Paderna1
87;63;563;JAGODJE;8;8;563;JAGODJE
88;79;0; ;8;10;50692;Sveti Anton1
89;112;20252;MARŠIČ;9;12;20252;MARŠIČ
90;1031;20030;GREGORIČI;53;19;20030;GREGORIČI
91;64;20033;BEZOVICA;4;16;20033;BEZOVICA
92;186;1266;KUTEŽEVO;11;17;1266;KUTEŽEVO
93;12666;20901;IZOLA MESTO;165;77;20901;IZOLA MESTO
94;84;1179;MALA BUKOVICA;9;9;1179;MALA BUKOVICA
95;2063;1258;PIVKA;77;27;1258;PIVKA
96;88;1186;PODBEŽE;8;11;1186;PODBEŽE
97;17618;20018;KOPER;246;72;20018;KOPER
98;151;1215;JABLANICA;10;15;1215;JABLANICA
99;99;541;STRUNJAN;11;9;50049;Strunjan1
100;138;541;STRUNJAN;11;13;541;STRUNJAN
101;142;20243;ŽBURGA;13;11;20243;ŽBURGA
102;63;20035;PODGORJE;6;10;50638;Podgorje1
103;1495;20029;POBEGI;73;20;20029;POBEGI
104;103;20203;KORTINE;8;13;20203;KORTINE
105;61;0; ;5;12;50693;Škocjan2
106;119;20147;ČRNI KAL;7;17;20147;ČRNI KAL
107;68;0; ;7;10;50694;BONINI
108;225;20231;OJO;14;16;20231;OJO
109;78;20217;LOKA;5;16;20217;LOKA
110;65;0; ;6;11;50695;PREDLOKA
111;205;1156;HRUŠICA;14;15;1156;HRUŠICA
112;209;1208;DOLNJI ZEMON;14;15;1208;DOLNJI ZEMON
113;456;1216;VRBOVO;30;15;1216;VRBOVO
114;263;1083;GORJANSKO;19;14;1083;GORJANSKO
115;79;1061;VOGLJE;6;13;1061;VOGLJE
116;109;1109;KRAJNA VAS;10;11;1109;KRAJNA VAS
117;319;20020;ANKARAN;16;20;20020;ANKARAN
118;53;541;STRUNJAN;7;8;50050;Strunjan2
119;168;20200;ŠKOCJAN;13;13;20200;ŠKOCJAN
120;190;1214;VELIKA BUKOVICA;9;21;1214;VELIKA BUKOVICA
121;53;0; ;5;11;50696;Dekani1
122;1771;20027;BERTOKI;80;22;20027;BERTOKI
123;251;1188;HARIJE;18;14;1188;HARIJE
124;70;588;IZOLA;5;14;588;IZOLA
